,Manufacturer##other##,Window Type##other##,Nominal Width##length##inches,Nominal Height##length##inches,Design Pressure##other##,Description##other##,Model##other##
CCNTPRYCAP6418,Marvin Windows and Doors,Clad Contemporary Casement Picture Unit,64,18,DP50,6418 FIXED,CCNTPRYCAP6418
CCNTPRYCAP6420,Marvin Windows and Doors,Clad Contemporary Casement Picture Unit,64,20,DP50,6420 FIXED,CCNTPRYCAP6420
CCNTPRYCAP6424,Marvin Windows and Doors,Clad Contemporary Casement Picture Unit,64,24,DP50,6424 FIXED,CCNTPRYCAP6424
CCNTPRYCAP6428,Marvin Windows and Doors,Clad Contemporary Casement Picture Unit,64,28,DP50,6428 FIXED,CCNTPRYCAP6428
CCNTPRYCAP6432,Marvin Windows and Doors,Clad Contemporary Casement Picture Unit,64,32,DP50,6432 FIXED,CCNTPRYCAP6432
CCNTPRYCAP6436,Marvin Windows and Doors,Clad Contemporary Casement Picture Unit,64,36,DP50,6436 FIXED,CCNTPRYCAP6436
CCNTPRYCAP6440,Marvin Windows and Doors,Clad Contemporary Casement Picture Unit,64,40,DP50,6440 FIXED,CCNTPRYCAP6440
CCNTPRYCAP6444,Marvin Windows and Doors,Clad Contemporary Casement Picture Unit,64,44,DP50,6444 FIXED,CCNTPRYCAP6444
CCNTPRYCAP6448,Marvin Windows and Doors,Clad Contemporary Casement Picture Unit,64,48,DP50,6448 FIXED,CCNTPRYCAP6448
CCNTPRYCAP6454,Marvin Windows and Doors,Clad Contemporary Casement Picture Unit,64,54,DP50,6454 FIXED,CCNTPRYCAP6454
CCNTPRYCAP6456,Marvin Windows and Doors,Clad Contemporary Casement Picture Unit,64,56,DP50,6456 FIXED,CCNTPRYCAP6456
CCNTPRYCAP6460,Marvin Windows and Doors,Clad Contemporary Casement Picture Unit,64,60,DP50,6460 FIXED,CCNTPRYCAP6460
CCNTPRYCAP6464,Marvin Windows and Doors,Clad Contemporary Casement Picture Unit,64,64,DP50,6464 FIXED,CCNTPRYCAP6464
CCNTPRYCAP6472,Marvin Windows and Doors,Clad Contemporary Casement Picture Unit,64,72,DP50,6472 FIXED,CCNTPRYCAP6472
CCNTPRYCAP6478,Marvin Windows and Doors,Clad Contemporary Casement Picture Unit,64,78,DP50,6478 FIXED,CCNTPRYCAP6478
CCNTPRYCAP6484,Marvin Windows and Doors,Clad Contemporary Casement Picture Unit,64,84,DP50,6484 FIXED,CCNTPRYCAP6484
CCNTPRYCAP6492,Marvin Windows and Doors,Clad Contemporary Casement Picture Unit,64,92,DP50,6492 FIXED,CCNTPRYCAP6492
CCNTPRYCAP6496,Marvin Windows and Doors,Clad Contemporary Casement Picture Unit,64,96,DP50,6496 FIXED,CCNTPRYCAP6496
CCNTPRYCAP7212,Marvin Windows and Doors,Clad Contemporary Casement Picture Unit,72,12,DP50,7212 FIXED,CCNTPRYCAP7212
CCNTPRYCAP7214,Marvin Windows and Doors,Clad Contemporary Casement Picture Unit,72,14,DP50,7214 FIXED,CCNTPRYCAP7214
CCNTPRYCAP7216,Marvin Windows and Doors,Clad Contemporary Casement Picture Unit,72,16,DP50,7216 FIXED,CCNTPRYCAP7216
CCNTPRYCAP7218,Marvin Windows and Doors,Clad Contemporary Casement Picture Unit,72,18,DP50,7218 FIXED,CCNTPRYCAP7218
CCNTPRYCAP7220,Marvin Windows and Doors,Clad Contemporary Casement Picture Unit,72,20,DP50,7220 FIXED,CCNTPRYCAP7220
CCNTPRYCAP7224,Marvin Windows and Doors,Clad Contemporary Casement Picture Unit,72,24,DP50,7224 FIXED,CCNTPRYCAP7224
CCNTPRYCAP7228,Marvin Windows and Doors,Clad Contemporary Casement Picture Unit,72,28,DP50,7228 FIXED,CCNTPRYCAP7228
CCNTPRYCAP7232,Marvin Windows and Doors,Clad Contemporary Casement Picture Unit,72,32,DP50,7232 FIXED,CCNTPRYCAP7232
CCNTPRYCAP7236,Marvin Windows and Doors,Clad Contemporary Casement Picture Unit,72,36,DP50,7236 FIXED,CCNTPRYCAP7236
CCNTPRYCAP7240,Marvin Windows and Doors,Clad Contemporary Casement Picture Unit,72,40,DP50,7240 FIXED,CCNTPRYCAP7240
CCNTPRYCAP7244,Marvin Windows and Doors,Clad Contemporary Casement Picture Unit,72,44,DP50,7244 FIXED,CCNTPRYCAP7244
CCNTPRYCAP7248,Marvin Windows and Doors,Clad Contemporary Casement Picture Unit,72,48,DP50,7248 FIXED,CCNTPRYCAP7248
CCNTPRYCAP7254,Marvin Windows and Doors,Clad Contemporary Casement Picture Unit,72,54,DP50,7254 FIXED,CCNTPRYCAP7254
CCNTPRYCAP7256,Marvin Windows and Doors,Clad Contemporary Casement Picture Unit,72,56,DP50,7256 FIXED,CCNTPRYCAP7256
CCNTPRYCAP7260,Marvin Windows and Doors,Clad Contemporary Casement Picture Unit,72,60,DP50,7260 FIXED,CCNTPRYCAP7260
CCNTPRYCAP7264,Marvin Windows and Doors,Clad Contemporary Casement Picture Unit,72,64,DP50,7264 FIXED,CCNTPRYCAP7264
CCNTPRYCAP7272,Marvin Windows and Doors,Clad Contemporary Casement Picture Unit,72,72,DP50,7272 FIXED,CCNTPRYCAP7272
CCNTPRYCAP7278,Marvin Windows and Doors,Clad Contemporary Casement Picture Unit,72,78,DP50,7278 FIXED,CCNTPRYCAP7278
CCNTPRYCAP7284,Marvin Windows and Doors,Clad Contemporary Casement Picture Unit,72,84,DP50,7284 FIXED,CCNTPRYCAP7284
CCNTPRYCAP7292,Marvin Windows and Doors,Clad Contemporary Casement Picture Unit,72,92,DP50,7292 FIXED,CCNTPRYCAP7292
CCNTPRYCAP7296,Marvin Windows and Doors,Clad Contemporary Casement Picture Unit,72,96,DP50,7296 FIXED,CCNTPRYCAP7296
CCNTPRYCAP8012,Marvin Windows and Doors,Clad Contemporary Casement Picture Unit,80,12,DP50,8012 FIXED,CCNTPRYCAP8012
CCNTPRYCAP8014,Marvin Windows and Doors,Clad Contemporary Casement Picture Unit,80,14,DP50,8014 FIXED,CCNTPRYCAP8014
CCNTPRYCAP8016,Marvin Windows and Doors,Clad Contemporary Casement Picture Unit,80,16,DP50,8016 FIXED,CCNTPRYCAP8016
CCNTPRYCAP8018,Marvin Windows and Doors,Clad Contemporary Casement Picture Unit,80,18,DP50,8018 FIXED,CCNTPRYCAP8018
CCNTPRYCAP8020,Marvin Windows and Doors,Clad Contemporary Casement Picture Unit,80,20,DP50,8020 FIXED,CCNTPRYCAP8020
CCNTPRYCAP8024,Marvin Windows and Doors,Clad Contemporary Casement Picture Unit,80,24,DP50,8024 FIXED,CCNTPRYCAP8024
CCNTPRYCAP8028,Marvin Windows and Doors,Clad Contemporary Casement Picture Unit,80,28,DP50,8028 FIXED,CCNTPRYCAP8028
CCNTPRYCAP8032,Marvin Windows and Doors,Clad Contemporary Casement Picture Unit,80,32,DP50,8032 FIXED,CCNTPRYCAP8032
CCNTPRYCAP8036,Marvin Windows and Doors,Clad Contemporary Casement Picture Unit,80,36,DP50,8036 FIXED,CCNTPRYCAP8036
CCNTPRYCAP8040,Marvin Windows and Doors,Clad Contemporary Casement Picture Unit,80,40,DP50,8040 FIXED,CCNTPRYCAP8040
CCNTPRYCAP8044,Marvin Windows and Doors,Clad Contemporary Casement Picture Unit,80,44,DP50,8044 FIXED,CCNTPRYCAP8044
CCNTPRYCAP8048,Marvin Windows and Doors,Clad Contemporary Casement Picture Unit,80,48,DP50,8048 FIXED,CCNTPRYCAP8048
CCNTPRYCAP8054,Marvin Windows and Doors,Clad Contemporary Casement Picture Unit,80,54,DP50,8054 FIXED,CCNTPRYCAP8054
CCNTPRYCAP8056,Marvin Windows and Doors,Clad Contemporary Casement Picture Unit,80,56,DP50,8056 FIXED,CCNTPRYCAP8056
CCNTPRYCAP8060,Marvin Windows and Doors,Clad Contemporary Casement Picture Unit,80,60,DP50,8060 FIXED,CCNTPRYCAP8060
CCNTPRYCAP8064,Marvin Windows and Doors,Clad Contemporary Casement Picture Unit,80,64,DP50,8064 FIXED,CCNTPRYCAP8064
CCNTPRYCAP8072,Marvin Windows and Doors,Clad Contemporary Casement Picture Unit,80,72,DP50,8072 FIXED,CCNTPRYCAP8072
CCNTPRYCAP8078,Marvin Windows and Doors,Clad Contemporary Casement Picture Unit,80,78,DP50,8078 FIXED,CCNTPRYCAP8078
CCNTPRYCAP8084,Marvin Windows and Doors,Clad Contemporary Casement Picture Unit,80,84,DP50,8084 FIXED,CCNTPRYCAP8084
CCNTPRYCAP8092,Marvin Windows and Doors,Clad Contemporary Casement Picture Unit,80,92,DP50,8092 FIXED,CCNTPRYCAP8092
CCNTPRYCAP8096,Marvin Windows and Doors,Clad Contemporary Casement Picture Unit,80,96,DP50,8096 FIXED,CCNTPRYCAP8096
CCNTPRYCAP8812,Marvin Windows and Doors,Clad Contemporary Casement Picture Unit,88,12,DP50,8812 FIXED,CCNTPRYCAP8812
CCNTPRYCAP8814,Marvin Windows and Doors,Clad Contemporary Casement Picture Unit,88,14,DP50,8814 FIXED,CCNTPRYCAP8814
CCNTPRYCAP8816,Marvin Windows and Doors,Clad Contemporary Casement Picture Unit,88,16,DP50,8816 FIXED,CCNTPRYCAP8816
CCNTPRYCAP8818,Marvin Windows and Doors,Clad Contemporary Casement Picture Unit,88,18,DP50,8818 FIXED,CCNTPRYCAP8818
CCNTPRYCAP8820,Marvin Windows and Doors,Clad Contemporary Casement Picture Unit,88,20,DP50,8820 FIXED,CCNTPRYCAP8820
CCNTPRYCAP8824,Marvin Windows and Doors,Clad Contemporary Casement Picture Unit,88,24,DP50,8824 FIXED,CCNTPRYCAP8824
CCNTPRYCAP8828,Marvin Windows and Doors,Clad Contemporary Casement Picture Unit,88,28,DP50,8828 FIXED,CCNTPRYCAP8828
CCNTPRYCAP8832,Marvin Windows and Doors,Clad Contemporary Casement Picture Unit,88,32,DP50,8832 FIXED,CCNTPRYCAP8832
CCNTPRYCAP8836,Marvin Windows and Doors,Clad Contemporary Casement Picture Unit,88,36,DP50,8836 FIXED,CCNTPRYCAP8836
CCNTPRYCAP8840,Marvin Windows and Doors,Clad Contemporary Casement Picture Unit,88,40,DP50,8840 FIXED,CCNTPRYCAP8840
CCNTPRYCAP8844,Marvin Windows and Doors,Clad Contemporary Casement Picture Unit,88,44,DP50,8844 FIXED,CCNTPRYCAP8844
CCNTPRYCAP8848,Marvin Windows and Doors,Clad Contemporary Casement Picture Unit,88,48,DP50,8848 FIXED,CCNTPRYCAP8848
CCNTPRYCAP8854,Marvin Windows and Doors,Clad Contemporary Casement Picture Unit,88,54,DP50,8854 FIXED,CCNTPRYCAP8854
CCNTPRYCAP8856,Marvin Windows and Doors,Clad Contemporary Casement Picture Unit,88,56,DP50,8856 FIXED,CCNTPRYCAP8856
CCNTPRYCAP8860,Marvin Windows and Doors,Clad Contemporary Casement Picture Unit,88,60,DP50,8860 FIXED,CCNTPRYCAP8860
CCNTPRYCAP8864,Marvin Windows and Doors,Clad Contemporary Casement Picture Unit,88,64,DP50,8864 FIXED,CCNTPRYCAP8864
CCNTPRYCAP8872,Marvin Windows and Doors,Clad Contemporary Casement Picture Unit,88,72,DP50,8872 FIXED,CCNTPRYCAP8872
CCNTPRYCAP8878,Marvin Windows and Doors,Clad Contemporary Casement Picture Unit,88,78,DP50,8878 FIXED,CCNTPRYCAP8878
CCNTPRYCAP8884,Marvin Windows and Doors,Clad Contemporary Casement Picture Unit,88,84,DP50,8884 FIXED,CCNTPRYCAP8884
CCNTPRYCAP8892,Marvin Windows and Doors,Clad Contemporary Casement Picture Unit,88,92,DP50,8892 FIXED,CCNTPRYCAP8892
CCNTPRYCAP8896,Marvin Windows and Doors,Clad Contemporary Casement Picture Unit,88,96,DP50,8896 FIXED,CCNTPRYCAP8896
CCNTPRYCAP9612,Marvin Windows and Doors,Clad Contemporary Casement Picture Unit,96,12,DP50,9612 FIXED,CCNTPRYCAP9612
CCNTPRYCAP9614,Marvin Windows and Doors,Clad Contemporary Casement Picture Unit,96,14,DP50,9614 FIXED,CCNTPRYCAP9614
CCNTPRYCAP9616,Marvin Windows and Doors,Clad Contemporary Casement Picture Unit,96,16,DP50,9616 FIXED,CCNTPRYCAP9616
CCNTPRYCAP9618,Marvin Windows and Doors,Clad Contemporary Casement Picture Unit,96,18,DP50,9618 FIXED,CCNTPRYCAP9618
CCNTPRYCAP9620,Marvin Windows and Doors,Clad Contemporary Casement Picture Unit,96,20,DP50,9620 FIXED,CCNTPRYCAP9620
CCNTPRYCAP9624,Marvin Windows and Doors,Clad Contemporary Casement Picture Unit,96,24,DP50,9624 FIXED,CCNTPRYCAP9624
