,Manufacturer##other##,Door Type##other##,Number of Panels##other##,Nominal Width##length##inches,Nominal Height##length##inches,Design Pressure##other##,Description##other##,Model##other##,Option Choice_Configuration##other##
CMOBFD246100-7P,Marvin Windows and Doors,Clad Ultimate Outswing Bi-Fold Door,7,294,120,Not Rated,252120 BFLD DOOR,CMOBFD246100,19

CMOBFD20068-8P,Marvin Windows and Doors,Clad Ultimate Outswing Bi-Fold Door,8,240,80,Not Rated,24080 BFLD DOOR,CMOBFD20068,24
CMOBFD20070-8P,Marvin Windows and Doors,Clad Ultimate Outswing Bi-Fold Door,8,240,84,Not Rated,24084 BFLD DOOR,CMOBFD20070,24
CMOBFD20080-8P,Marvin Windows and Doors,Clad Ultimate Outswing Bi-Fold Door,8,240,96,Not Rated,24096 BFLD DOOR,CMOBFD20080,24
CMOBFD20090-8P,Marvin Windows and Doors,Clad Ultimate Outswing Bi-Fold Door,8,240,108,Not Rated,240108 BFLD DOOR,CMOBFD20090,24
CMOBFD200100-8P,Marvin Windows and Doors,Clad Ultimate Outswing Bi-Fold Door,8,240,120,Not Rated,240120 BFLD DOOR,CMOBFD200100,24

CMOBFD24068-8P,Marvin Windows and Doors,Clad Ultimate Outswing Bi-Fold Door,8,288,80,Not Rated,28880 BFLD DOOR,CMOBFD24068,24
CMOBFD24070-8P,Marvin Windows and Doors,Clad Ultimate Outswing Bi-Fold Door,8,288,84,Not Rated,28884 BFLD DOOR,CMOBFD24070,24
CMOBFD24080-8P,Marvin Windows and Doors,Clad Ultimate Outswing Bi-Fold Door,8,288,96,Not Rated,28896 BFLD DOOR,CMOBFD24080,24
CMOBFD24090-8P,Marvin Windows and Doors,Clad Ultimate Outswing Bi-Fold Door,8,288,108,Not Rated,288108 BFLD DOOR,CMOBFD24090,24
CMOBFD240100-8P,Marvin Windows and Doors,Clad Ultimate Outswing Bi-Fold Door,8,288,120,Not Rated,288120 BFLD DOOR,CMOBFD240100,24

CMOBFD28068-8P,Marvin Windows and Doors,Clad Ultimate Outswing Bi-Fold Door,8,336,80,Not Rated,33680 BFLD DOOR,CMOBFD28068,24
CMOBFD28070-8P,Marvin Windows and Doors,Clad Ultimate Outswing Bi-Fold Door,8,336,84,Not Rated,33684 BFLD DOOR,CMOBFD28070,24
CMOBFD28080-8P,Marvin Windows and Doors,Clad Ultimate Outswing Bi-Fold Door,8,336,96,Not Rated,33696 BFLD DOOR,CMOBFD28080,24
CMOBFD28090-8P,Marvin Windows and Doors,Clad Ultimate Outswing Bi-Fold Door,8,336,108,Not Rated,336108 BFLD DOOR,CMOBFD28090,24
CMOBFD280100-8P,Marvin Windows and Doors,Clad Ultimate Outswing Bi-Fold Door,8,336,120,Not Rated,336120 BFLD DOOR,CMOBFD280100,24

CMOBFD22668-9P,Marvin Windows and Doors,Clad Ultimate Outswing Bi-Fold Door,9,270,80,Not Rated,27080 BFLD DOOR,CMOBFD22668,29
CMOBFD22670-9P,Marvin Windows and Doors,Clad Ultimate Outswing Bi-Fold Door,9,270,84,Not Rated,27084 BFLD DOOR,CMOBFD22670,29
CMOBFD22680-9P,Marvin Windows and Doors,Clad Ultimate Outswing Bi-Fold Door,9,270,96,Not Rated,27096 BFLD DOOR,CMOBFD22680,29
CMOBFD22690-9P,Marvin Windows and Doors,Clad Ultimate Outswing Bi-Fold Door,9,270,108,Not Rated,270108 BFLD DOOR,CMOBFD22690,29
CMOBFD226100-9P,Marvin Windows and Doors,Clad Ultimate Outswing Bi-Fold Door,9,270,120,Not Rated,270120 BFLD DOOR,CMOBFD226100,29

CMOBFD27068-9P,Marvin Windows and Doors,Clad Ultimate Outswing Bi-Fold Door,9,324,80,Not Rated,32480 BFLD DOOR,CMOBFD27068,29
CMOBFD27070-9P,Marvin Windows and Doors,Clad Ultimate Outswing Bi-Fold Door,9,324,84,Not Rated,32484 BFLD DOOR,CMOBFD27070,29
CMOBFD27080-9P,Marvin Windows and Doors,Clad Ultimate Outswing Bi-Fold Door,9,324,96,Not Rated,32496 BFLD DOOR,CMOBFD27080,29
CMOBFD27090-9P,Marvin Windows and Doors,Clad Ultimate Outswing Bi-Fold Door,9,324,108,Not Rated,324108 BFLD DOOR,CMOBFD27090,29
CMOBFD270100-9P,Marvin Windows and Doors,Clad Ultimate Outswing Bi-Fold Door,9,324,120,Not Rated,324120 BFLD DOOR,CMOBFD270100,29

CMOBFD31668-9P,Marvin Windows and Doors,Clad Ultimate Outswing Bi-Fold Door,9,378,80,Not Rated,37880 BFLD DOOR,CMOBFD31668,29
CMOBFD31670-9P,Marvin Windows and Doors,Clad Ultimate Outswing Bi-Fold Door,9,378,84,Not Rated,37884 BFLD DOOR,CMOBFD31670,29
CMOBFD31680-9P,Marvin Windows and Doors,Clad Ultimate Outswing Bi-Fold Door,9,378,96,Not Rated,37896 BFLD DOOR,CMOBFD31680,29
CMOBFD31690-9P,Marvin Windows and Doors,Clad Ultimate Outswing Bi-Fold Door,9,378,108,Not Rated,378108 BFLD DOOR,CMOBFD31690,29
CMOBFD316100-9P,Marvin Windows and Doors,Clad Ultimate Outswing Bi-Fold Door,9,378,120,Not Rated,378120 BFLD DOOR,CMOBFD316100,29

CMOBFD25068-10P,Marvin Windows and Doors,Clad Ultimate Outswing Bi-Fold Door,10,300,80,Not Rated,30080 BFLD DOOR,CMOBFD25068,33
CMOBFD25070-10P,Marvin Windows and Doors,Clad Ultimate Outswing Bi-Fold Door,10,300,84,Not Rated,30084 BFLD DOOR,CMOBFD25070,33
