,Manufacturer##other##,Door Type##other##,Number of Panels##other##,Nominal Width##length##inches,Nominal Height##length##inches,Description##other##,Model##other##
CMMSDP300100_PXXXXX/XXXXXP,Marvin Windows and Doors,Clad Ultimate Multi-Slide Pocket Door,5,360,120,300100 MS DOOR,CMMSDP300100_PXXXXX/XXXXXP
CMMSDP150120_PXXXXX/XXXXXP,Marvin Windows and Doors,Clad Ultimate Multi-Slide Pocket Door,5,180,144,150120 MS DOOR,CMMSDP150120_PXXXXX/XXXXXP
CMMSDP200120_PXXXXX/XXXXXP,Marvin Windows and Doors,Clad Ultimate Multi-Slide Pocket Door,5,240,144,200120 MS DOOR,CMMSDP200120_PXXXXX/XXXXXP
CMMSDP250120_PXXXXX/XXXXXP,Marvin Windows and Doors,Clad Ultimate Multi-Slide Pocket Door,5,300,144,250120 MS DOOR,CMMSDP250120_PXXXXX/XXXXXP
CMMSDP300120_PXXXXX/XXXXXP,Marvin Windows and Doors,Clad Ultimate Multi-Slide Pocket Door,5,360,144,300120 MS DOOR,CMMSDP300120_PXXXXX/XXXXXP
CMMSDP18070_PXXXXXX/XXXXXXP,Marvin Windows and Doors,Clad Ultimate Multi-Slide Pocket Door,6,216,84,18070 MS DOOR,CMMSDP18070_PXXXXXX/XXXXXXP
CMMSDP24070_PXXXXXX/XXXXXXP,Marvin Windows and Doors,Clad Ultimate Multi-Slide Pocket Door,6,288,84,24070 MS DOOR,CMMSDP24070_PXXXXXX/XXXXXXP
CMMSDP30070_PXXXXXX/XXXXXXP,Marvin Windows and Doors,Clad Ultimate Multi-Slide Pocket Door,6,360,84,30070 MS DOOR,CMMSDP30070_PXXXXXX/XXXXXXP
CMMSDP36070_PXXXXXX/XXXXXXP,Marvin Windows and Doors,Clad Ultimate Multi-Slide Pocket Door,6,432,84,36070 MS DOOR,CMMSDP36070_PXXXXXX/XXXXXXP
CMMSDP18080_PXXXXXX/XXXXXXP,Marvin Windows and Doors,Clad Ultimate Multi-Slide Pocket Door,6,216,96,18080 MS DOOR,CMMSDP18080_PXXXXXX/XXXXXXP
CMMSDP24080_PXXXXXX/XXXXXXP,Marvin Windows and Doors,Clad Ultimate Multi-Slide Pocket Door,6,288,96,24080 MS DOOR,CMMSDP24080_PXXXXXX/XXXXXXP
CMMSDP30080_PXXXXXX/XXXXXXP,Marvin Windows and Doors,Clad Ultimate Multi-Slide Pocket Door,6,360,96,30080 MS DOOR,CMMSDP30080_PXXXXXX/XXXXXXP
CMMSDP36080_PXXXXXX/XXXXXXP,Marvin Windows and Doors,Clad Ultimate Multi-Slide Pocket Door,6,432,96,36080 MS DOOR,CMMSDP36080_PXXXXXX/XXXXXXP
CMMSDP18090_PXXXXXX/XXXXXXP,Marvin Windows and Doors,Clad Ultimate Multi-Slide Pocket Door,6,216,108,18090 MS DOOR,CMMSDP18090_PXXXXXX/XXXXXXP
CMMSDP24090_PXXXXXX/XXXXXXP,Marvin Windows and Doors,Clad Ultimate Multi-Slide Pocket Door,6,288,108,24090 MS DOOR,CMMSDP24090_PXXXXXX/XXXXXXP
CMMSDP30090_PXXXXXX/XXXXXXP,Marvin Windows and Doors,Clad Ultimate Multi-Slide Pocket Door,6,360,108,30090 MS DOOR,CMMSDP30090_PXXXXXX/XXXXXXP
CMMSDP36090_PXXXXXX/XXXXXXP,Marvin Windows and Doors,Clad Ultimate Multi-Slide Pocket Door,6,432,108,36090 MS DOOR,CMMSDP36090_PXXXXXX/XXXXXXP
CMMSDP180100_PXXXXXX/XXXXXXP,Marvin Windows and Doors,Clad Ultimate Multi-Slide Pocket Door,6,216,120,180100 MS DOOR,CMMSDP180100_PXXXXXX/XXXXXXP
CMMSDP240100_PXXXXXX/XXXXXXP,Marvin Windows and Doors,Clad Ultimate Multi-Slide Pocket Door,6,288,120,240100 MS DOOR,CMMSDP240100_PXXXXXX/XXXXXXP
CMMSDP300100_PXXXXXX/XXXXXXP,Marvin Windows and Doors,Clad Ultimate Multi-Slide Pocket Door,6,360,120,300100 MS DOOR,CMMSDP300100_PXXXXXX/XXXXXXP
CMMSDP360100_PXXXXXX/XXXXXXP,Marvin Windows and Doors,Clad Ultimate Multi-Slide Pocket Door,6,432,120,360100 MS DOOR,CMMSDP360100_PXXXXXX/XXXXXXP
CMMSDP180120_PXXXXXX/XXXXXXP,Marvin Windows and Doors,Clad Ultimate Multi-Slide Pocket Door,6,216,144,180120 MS DOOR,CMMSDP180120_PXXXXXX/XXXXXXP
CMMSDP240120_PXXXXXX/XXXXXXP,Marvin Windows and Doors,Clad Ultimate Multi-Slide Pocket Door,6,288,144,240120 MS DOOR,CMMSDP240120_PXXXXXX/XXXXXXP
CMMSDP300120_PXXXXXX/XXXXXXP,Marvin Windows and Doors,Clad Ultimate Multi-Slide Pocket Door,6,360,144,300120 MS DOOR,CMMSDP300120_PXXXXXX/XXXXXXP
CMMSDP360120_PXXXXXX/XXXXXXP,Marvin Windows and Doors,Clad Ultimate Multi-Slide Pocket Door,6,432,144,360120 MS DOOR,CMMSDP360120_PXXXXXX/XXXXXXP
