,Manufacturer##other##,Door Type##other##,Number of Panels##other##,Nominal Width##length##inches,Nominal Height##length##inches,Description##other##,Model##other##
CMMSDP480120_PXXXX-XXXXP,Marvin Windows and Doors,Clad Ultimate Multi-Slide Pocket Door,8,576,144,480120 MS DOOR,CMMSDP480120_PXXXX-XXXXP
CMMSDP30070_PXXXXX-XXXXXP,Marvin Windows and Doors,Clad Ultimate Multi-Slide Pocket Door,10,360,84,30070 MS DOOR,CMMSDP30070_PXXXXX-XXXXXP
CMMSDP40070_PXXXXX-XXXXXP,Marvin Windows and Doors,Clad Ultimate Multi-Slide Pocket Door,10,480,84,40070 MS DOOR,CMMSDP40070_PXXXXX-XXXXXP
CMMSDP50070_PXXXXX-XXXXXP,Marvin Windows and Doors,Clad Ultimate Multi-Slide Pocket Door,10,600,84,50070 MS DOOR,CMMSDP50070_PXXXXX-XXXXXP
CMMSDP60070_PXXXXX-XXXXXP,Marvin Windows and Doors,Clad Ultimate Multi-Slide Pocket Door,10,720,84,60070 MS DOOR,CMMSDP60070_PXXXXX-XXXXXP
CMMSDP30080_PXXXXX-XXXXXP,Marvin Windows and Doors,Clad Ultimate Multi-Slide Pocket Door,10,360,96,30080 MS DOOR,CMMSDP30080_PXXXXX-XXXXXP
CMMSDP40080_PXXXXX-XXXXXP,Marvin Windows and Doors,Clad Ultimate Multi-Slide Pocket Door,10,480,96,40080 MS DOOR,CMMSDP40080_PXXXXX-XXXXXP
CMMSDP50080_PXXXXX-XXXXXP,Marvin Windows and Doors,Clad Ultimate Multi-Slide Pocket Door,10,600,96,50080 MS DOOR,CMMSDP50080_PXXXXX-XXXXXP
CMMSDP60080_PXXXXX-XXXXXP,Marvin Windows and Doors,Clad Ultimate Multi-Slide Pocket Door,10,720,96,60080 MS DOOR,CMMSDP60080_PXXXXX-XXXXXP
CMMSDP30090_PXXXXX-XXXXXP,Marvin Windows and Doors,Clad Ultimate Multi-Slide Pocket Door,10,360,108,30090 MS DOOR,CMMSDP30090_PXXXXX-XXXXXP
CMMSDP40090_PXXXXX-XXXXXP,Marvin Windows and Doors,Clad Ultimate Multi-Slide Pocket Door,10,480,108,40090 MS DOOR,CMMSDP40090_PXXXXX-XXXXXP
CMMSDP50090_PXXXXX-XXXXXP,Marvin Windows and Doors,Clad Ultimate Multi-Slide Pocket Door,10,600,108,50090 MS DOOR,CMMSDP50090_PXXXXX-XXXXXP
CMMSDP60090_PXXXXX-XXXXXP,Marvin Windows and Doors,Clad Ultimate Multi-Slide Pocket Door,10,720,108,60090 MS DOOR,CMMSDP60090_PXXXXX-XXXXXP
CMMSDP300100_PXXXXX-XXXXXP,Marvin Windows and Doors,Clad Ultimate Multi-Slide Pocket Door,10,360,120,300100 MS DOOR,CMMSDP300100_PXXXXX-XXXXXP
CMMSDP400100_PXXXXX-XXXXXP,Marvin Windows and Doors,Clad Ultimate Multi-Slide Pocket Door,10,480,120,400100 MS DOOR,CMMSDP400100_PXXXXX-XXXXXP
CMMSDP500100_PXXXXX-XXXXXP,Marvin Windows and Doors,Clad Ultimate Multi-Slide Pocket Door,10,600,120,500100 MS DOOR,CMMSDP500100_PXXXXX-XXXXXP
CMMSDP600100_PXXXXX-XXXXXP,Marvin Windows and Doors,Clad Ultimate Multi-Slide Pocket Door,10,720,120,600100 MS DOOR,CMMSDP600100_PXXXXX-XXXXXP
CMMSDP300120_PXXXXX-XXXXXP,Marvin Windows and Doors,Clad Ultimate Multi-Slide Pocket Door,10,360,144,300120 MS DOOR,CMMSDP300120_PXXXXX-XXXXXP
CMMSDP400120_PXXXXX-XXXXXP,Marvin Windows and Doors,Clad Ultimate Multi-Slide Pocket Door,10,480,144,400120 MS DOOR,CMMSDP400120_PXXXXX-XXXXXP
CMMSDP500120_PXXXXX-XXXXXP,Marvin Windows and Doors,Clad Ultimate Multi-Slide Pocket Door,10,600,144,500120 MS DOOR,CMMSDP500120_PXXXXX-XXXXXP
CMMSDP600120_PXXXXX-XXXXXP,Marvin Windows and Doors,Clad Ultimate Multi-Slide Pocket Door,10,720,144,600120 MS DOOR,CMMSDP600120_PXXXXX-XXXXXP
