,Manufacturer##other##,Door Type##other##,Number of Panels##other##,Nominal Width##length##inches,Nominal Height##length##inches,Description##other##,Model##other##
CMMSDS30090_OXXXXX/XXXXXO,Marvin Windows and Doors,Clad Ultimate Multi-Slide Stacked Door,6,360,108,30090 MS DOOR,CMMSDS30090_OXXXXX/XXXXXO
CMMSDS36090_OXXXXX/XXXXXO,Marvin Windows and Doors,Clad Ultimate Multi-Slide Stacked Door,6,432,108,36090 MS DOOR,CMMSDS36090_OXXXXX/XXXXXO
CMMSDS180100_OXXXXX/XXXXXO,Marvin Windows and Doors,Clad Ultimate Multi-Slide Stacked Door,6,216,120,180100 MS DOOR,CMMSDS180100_OXXXXX/XXXXXO
CMMSDS240100_OXXXXX/XXXXXO,Marvin Windows and Doors,Clad Ultimate Multi-Slide Stacked Door,6,288,120,240100 MS DOOR,CMMSDS240100_OXXXXX/XXXXXO
CMMSDS300100_OXXXXX/XXXXXO,Marvin Windows and Doors,Clad Ultimate Multi-Slide Stacked Door,6,360,120,300100 MS DOOR,CMMSDS300100_OXXXXX/XXXXXO
CMMSDS360100_OXXXXX/XXXXXO,Marvin Windows and Doors,Clad Ultimate Multi-Slide Stacked Door,6,432,120,360100 MS DOOR,CMMSDS360100_OXXXXX/XXXXXO
CMMSDS180120_OXXXXX/XXXXXO,Marvin Windows and Doors,Clad Ultimate Multi-Slide Stacked Door,6,216,144,180120 MS DOOR,CMMSDS180120_OXXXXX/XXXXXO
CMMSDS240120_OXXXXX/XXXXXO,Marvin Windows and Doors,Clad Ultimate Multi-Slide Stacked Door,6,288,144,240120 MS DOOR,CMMSDS240120_OXXXXX/XXXXXO
CMMSDS300120_OXXXXX/XXXXXO,Marvin Windows and Doors,Clad Ultimate Multi-Slide Stacked Door,6,360,144,300120 MS DOOR,CMMSDS300120_OXXXXX/XXXXXO
CMMSDS360120_OXXXXX/XXXXXO,Marvin Windows and Doors,Clad Ultimate Multi-Slide Stacked Door,6,432,144,360120 MS DOOR,CMMSDS360120_OXXXXX/XXXXXO

