,Radius##length##inches,Rough Width##length##inches,Width##length##inches,DLO Width##length##inches,Rough Height##length##inches,Height##length##inches,DLO Height##length##inches,Model##other##
CUSHRT-NG4818,108,54 1/4,53 1/4,46 47/64,58  1/16,57  9/16,16 3/4,CUSHRT-NG4818
CUSHRT-NG4820,108,54 1/4,53 1/4,46 47/64,62  1/16,61  9/16,18 3/4,CUSHRT-NG4820
CUSHRT-NG4822,108,54 1/4,53 1/4,46 47/64,66  1/16,65  9/16,20 3/4,CUSHRT-NG4822
CUSHRT-NG4824,108,54 1/4,53 1/4,46 47/64,70  1/16,69  9/16,22 3/4,CUSHRT-NG4824
CUSHRT-NG4826,108,54 1/4,53 1/4,46 47/64,74  1/16,73  9/16,24 3/4,CUSHRT-NG4826
CUSHRT-NG4828,108,54 1/4,53 1/4,46 47/64,78  1/16,77  9/16,26 3/4,CUSHRT-NG4828
CUSHRT-NG4830,108,54 1/4,53 1/4,46 47/64,82  1/16,81  9/16,28 3/4,CUSHRT-NG4830
CUSHRT-NG4832,108,54 1/4,53 1/4,46 47/64,86  1/16,85  9/16,30 3/4,CUSHRT-NG4832
CUSHRT-NG4834,108,54 1/4,53 1/4,46 47/64,90  1/16,89  9/16,32 3/4,CUSHRT-NG4834
CUSHRT-NG4836,108,54 1/4,53 1/4,46 47/64,94  1/16,93  9/16,34 3/4,CUSHRT-NG4836
CUSHRT-NG4840,108,54 1/4,53 1/4,46 47/64,102  1/16,101  9/16,38 3/4,CUSHRT-NG4840
CUSHRT-NG4842,108,54 1/4,53 1/4,46 47/64,106  1/16,105  9/16,40 3/4,CUSHRT-NG4842
CUSHRT-NG5412,108,60 1/4,59 1/4,52 47/64,49  3/4 ,49  1/4 ,10 3/4,CUSHRT-NG5412
CUSHRT-NG5414,108,60 1/4,59 1/4,52 47/64,53  3/4 ,53  1/4 ,12 3/4,CUSHRT-NG5414
CUSHRT-NG5416,108,60 1/4,59 1/4,52 47/64,57  3/4 ,57  1/4 ,14 3/4,CUSHRT-NG5416
CUSHRT-NG5418,108,60 1/4,59 1/4,52 47/64,61  3/4 ,61  1/4 ,16 3/4,CUSHRT-NG5418
CUSHRT-NG5420,108,60 1/4,59 1/4,52 47/64,65  3/4 ,65  1/4 ,18 3/4,CUSHRT-NG5420
CUSHRT-NG5422,108,60 1/4,59 1/4,52 47/64,69  3/4 ,69  1/4 ,20 3/4,CUSHRT-NG5422
CUSHRT-NG5424,108,60 1/4,59 1/4,52 47/64,73  3/4 ,73  1/4 ,22 3/4,CUSHRT-NG5424
CUSHRT-NG5426,108,60 1/4,59 1/4,52 47/64,77  3/4 ,77  1/4 ,24 3/4,CUSHRT-NG5426
CUSHRT-NG5428,108,60 1/4,59 1/4,52 47/64,81  3/4 ,81  1/4 ,26 3/4,CUSHRT-NG5428
CUSHRT-NG5430,108,60 1/4,59 1/4,52 47/64,85  3/4 ,85  1/4 ,28 3/4,CUSHRT-NG5430
CUSHRT-NG5432,108,60 1/4,59 1/4,52 47/64,89  3/4 ,89  1/4 ,30 3/4,CUSHRT-NG5432
CUSHRT-NG5434,108,60 1/4,59 1/4,52 47/64,93  3/4 ,93  1/4 ,32 3/4,CUSHRT-NG5434
CUSHRT-NG5436,108,60 1/4,59 1/4,52 47/64,97  3/4 ,97  1/4 ,34 3/4,CUSHRT-NG5436
CUSHRT-NG5440,108,60 1/4,59 1/4,52 47/64,105  3/4 ,105  1/4 ,38 3/4,CUSHRT-NG5440
CUSHRT-NG5442,108,60 1/4,59 1/4,52 47/64,109  3/4 ,109  1/4 ,40 3/4,CUSHRT-NG5442
