,Radius##length##inches,Rough Width##length##inches,Width##length##inches,DLO Width##length##inches,Rough Height##length##inches,Height##length##inches,DLO Height##length##inches,Model##other##,Egress Note##other##
CUDHRT-NG4830,27 1/8,54 1/4,53 1/4,46 47/64,94 5/8,94 1/8,28 3/4,CUDHRT-NG4830,Yes
CUDHRT-NG4832,27 1/8,54 1/4,53 1/4,46 47/64,98 5/8,98 1/8,30 3/4,CUDHRT-NG4832,Yes
CUDHRT-NG4834,27 1/8,54 1/4,53 1/4,46 47/64,102 5/8,102 1/8,32 3/4,CUDHRT-NG4834,Yes
CUDHRT-NG4836,27 1/8,54 1/4,53 1/4,46 47/64,106 5/8,106 1/8,34 3/4,CUDHRT-NG4836,Yes
CUDHRT-NG4840,27 1/8,54 1/4,53 1/4,46 47/64,114 5/8,114 1/8,38 3/4,CUDHRT-NG4840,Yes
CUDHRT-NG4842,27 1/8,54 1/4,53 1/4,46 47/64,118 5/8,118 1/8,40 3/4,CUDHRT-NG4842,Yes
CUDHRT-NG5412,30 1/8,60 1/4,59 1/4,52 47/64,61 5/8,61 1/8,10 3/4,CUDHRT-NG5412,No
CUDHRT-NG5414,30 1/8,60 1/4,59 1/4,52 47/64,65 5/8,65 1/8,12 3/4,CUDHRT-NG5414,No
CUDHRT-NG5416,30 1/8,60 1/4,59 1/4,52 47/64,69 5/8,69 1/8,14 3/4,CUDHRT-NG5416,No
CUDHRT-NG5418,30 1/8,60 1/4,59 1/4,52 47/64,73 5/8,73 1/8,16 3/4,CUDHRT-NG5418,No
CUDHRT-NG5420,30 1/8,60 1/4,59 1/4,52 47/64,77 5/8,77 1/8,18 3/4,CUDHRT-NG5420,No
CUDHRT-NG5422,30 1/8,60 1/4,59 1/4,52 47/64,81 5/8,81 1/8,20 3/4,CUDHRT-NG5422,No
CUDHRT-NG5424,30 1/8,60 1/4,59 1/4,52 47/64,85 5/8,85 1/8,22 3/4,CUDHRT-NG5424,No
CUDHRT-NG5426,30 1/8,60 1/4,59 1/4,52 47/64,89 5/8,89 1/8,24 3/4,CUDHRT-NG5426,Yes
CUDHRT-NG5428,30 1/8,60 1/4,59 1/4,52 47/64,93 5/8,93 1/8,26 3/4,CUDHRT-NG5428,Yes
CUDHRT-NG5430,30 1/8,60 1/4,59 1/4,52 47/64,97 5/8,97 1/8,28 3/4,CUDHRT-NG5430,Yes
CUDHRT-NG5432,30 1/8,60 1/4,59 1/4,52 47/64,101 5/8,101 1/8,30 3/4,CUDHRT-NG5432,Yes
CUDHRT-NG5434,30 1/8,60 1/4,59 1/4,52 47/64,105 5/8,105 1/8,32 3/4,CUDHRT-NG5434,Yes
CUDHRT-NG5436,30 1/8,60 1/4,59 1/4,52 47/64,109 5/8,109 1/8,34 3/4,CUDHRT-NG5436,Yes
CUDHRT-NG5440,30 1/8,60 1/4,59 1/4,52 47/64,117 5/8,117 1/8,38 3/4,CUDHRT-NG5440,Yes
